model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
RANG012/SENATOR-Scaled,distilbert-base-uncased,imdb,0.89,text-classification,2e-05,16,2.0,,2022-06-01T08:10:34.000Z,,4,finetune
cindy203cc/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-06-14T19:16:33.000Z,,4,finetune
jmwolf27/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-06-28T02:19:32.000Z,,4,finetune
LYTinn/bloom-finetuning-sentiment-model-3000-samples,,imdb,0.8633,text-classification,2e-05,1,2.0,,2022-10-11T08:56:34.000Z,,4,finetune
kwdev2000/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,text-classification,2e-05,16,2.0,,2022-10-21T08:23:12.000Z,,4,finetune
muhtasham/finetuned-base_base,bert-base-uncased,imdb,0.9094,text-classification,3e-05,50,200.0,,2022-12-03T01:16:32.000Z,,4,finetune
muhtasham/finetuned-mlm_small,bert-base-uncased,imdb,0.9084,text-classification,3e-05,128,200.0,,2022-12-03T02:28:52.000Z,,4,finetune
muhtasham/finetuned-self_mlm_tiny,bert-base-uncased,imdb,0.8796,text-classification,3e-05,128,200.0,,2022-12-06T22:35:18.000Z,,4,finetune
mkhairil/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-01-29T18:09:18.000Z,,4,finetune
JS21/finetuning-sentiment-model-10000-samples,distilbert-base-uncased,imdb,0.908,text-classification,2e-05,32,4.0,,2023-09-24T15:56:55.000Z,,4,finetune
petersa2/distilbert-code,distilbert-base-uncased,imdb,0.56,text-classification,5e-05,4,2.0,,2023-05-19T03:46:45.000Z,,4,finetune
mwinterhalter/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8833,text-classification,2e-05,16,2.0,,2023-05-21T12:43:42.000Z,,4,finetune
mwinterhalter/my-sentiment-model,distilbert-base-uncased,imdb,0.9307,text-classification,2e-05,16,4.0,,2023-05-26T20:18:41.000Z,,4,finetune
kweston/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2023-07-19T21:23:17.000Z,,4,finetune
car13mesquita/bert-based-uncased-finetuned-imdb,distilbert-base-uncased,imdb,0.9314,text-classification,2e-05,16,2.0,,2025-01-28T04:15:52.000Z,,4,finetune
pachequinho/sentiment_roberta_twitter_imdb_10,roberta-base,imdb,0.9288,text-classification,2e-05,16,2.0,,2023-08-22T19:30:54.000Z,,4,finetune
aditira/text_classification,distilbert-base-uncased,imdb,0.9156,text-classification,2e-05,16,2.0,,2023-09-05T04:53:12.000Z,,4,finetune
xszhou/test-sentiment-analysis,distilbert-base-uncased,imdb,0.9319,text-classification,2e-05,16,2.0,,2023-10-08T06:23:24.000Z,,4,finetune
ai-ar/simple-classification,distilbert-base-uncased,imdb,0.9274,text-classification,2e-05,24,1.0,,2023-10-16T15:33:43.000Z,,4,finetune
jaheroth/my_awesome_model,distilbert-base-uncased,imdb,0.916,text-classification,2e-05,16,2.0,,2023-10-22T13:12:34.000Z,,4,finetune
nosnelmil/GPT2-CompareTransformers-Imdb,,imdb,0.9331,text-classification,5e-05,4,3.0,,2023-11-02T14:58:00.000Z,,4,finetune
kkkh1/my_awesome_model,distilbert-base-uncased,imdb,0.974,text-classification,2e-05,16,2.0,,2023-11-02T15:47:54.000Z,,4,finetune
Realgon/left_padding20model,distilbert-base-uncased,imdb,0.9351,text-classification,2e-05,16,10.0,,2023-11-27T07:13:57.000Z,,4,finetune
krishnareddy/hello_classification_model,distilbert-base-uncased,imdb,0.9314,text-classification,2e-05,16,2.0,,2023-11-28T07:12:09.000Z,,4,finetune
TheOriginalMarcelo/my_awesome_model,distilbert-base-uncased,imdb,0.9269,text-classification,2e-05,16,1.0,,2023-11-29T22:53:37.000Z,,4,finetune
hoangduy0610/uit-cs221-sentiment-analysis,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2024-03-27T14:47:23.000Z,,4,finetune
AdapterHub/distilbert-base-uncased_sentiment_imdb_pfeiffer,,imdb,,text-classification,,,,,2024-05-05T20:48:09.000Z,,4,finetune
SAB03/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2024-08-05T19:33:42.000Z,,4,finetune
Gaurav2k/IMDB_Recommender,bert-base-uncased,imdb,,text-classification,,,,,2024-09-19T19:41:26.000Z,,4,finetune
shane-reaume/imdb-sentiment-analysis-v2,distilbert-base-uncased,imdb,,text-classification,2e-05,,,,2025-03-12T00:55:20.000Z,,4,finetune
louijiec/sentio-model,distilbert-base-uncased,imdb,,text-classification,,,,,2025-06-13T16:02:22.000Z,,4,finetune
nkadoor/sentiment-classifier-roberta,roberta-base,imdb,,text-classification,,,,,2025-09-12T01:59:23.000Z,,4,finetune
chinmaygarde/hello,distilbert-base-uncased,imdb,,text-classification,,,,,2026-03-23T03:50:30.000Z,,4,finetune
asadehsan/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-20T09:47:55.000Z,,4,finetune
sawairasaeed/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T14:56:19.000Z,,4,finetune
tayybanaeem/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-21T14:31:36.000Z,,4,finetune
imrankhan11/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,,,,,2026-04-27T14:47:05.000Z,,4,finetune
harshaojha/bert-imdb-finetuned,bert-base-uncased,imdb,,text-classification,,,,,2026-05-07T15:06:27.000Z,,4,finetune
federicopascual/finetuned-sentiment-analysis-model,distilbert-base-uncased,imdb,0.909,text-classification,2e-05,16,2.0,,2021-12-28T15:57:16.000Z,,3,finetune
jkhan447/sentiment-model-sample,bert-base-uncased,imdb,0.9395,text-classification,2e-05,16,10.0,,2022-03-04T11:13:39.000Z,,3,finetune
julien-c/distilbert-sagemaker-1609802168,distilbert-base-uncased,imdb,,text-classification,,,,,2022-11-09T10:06:13.000Z,,3,finetune
nateraw/codecarbon-text-classification,bert-base-uncased,imdb,,text-classification,5e-05,8,4.0,,2022-02-07T20:30:43.000Z,,3,finetune
sukhendrasingh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-02-07T17:20:03.000Z,,3,finetune
markt23917/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-03-12T08:11:37.000Z,,3,finetune
cb2-kai/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,16,2.0,,2022-03-21T18:34:27.000Z,,3,finetune
dhlee347/distilbert-imdb,distilbert-base-uncased,imdb,0.9302,text-classification,5e-05,32,1.0,,2022-03-28T14:07:15.000Z,,3,finetune
Manishkalra/finetuning-sentiment-model-4000-samples,distilbert-base-uncased,imdb,0.9,text-classification,2e-05,16,2.0,,2022-04-15T05:05:50.000Z,,3,finetune
azert99/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-04-18T04:48:42.000Z,,3,finetune
PDM/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-04-22T09:18:16.000Z,,3,finetune
praptishadmaan/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.9319,text-classification,2e-05,16,2.0,,2022-04-24T17:16:19.000Z,,3,finetune
Percival/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2022-04-29T22:52:18.000Z,,3,finetune
heranm/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-05-05T16:50:21.000Z,,3,finetune
wooglee/distilbert-imdb,distilbert-base-uncased,imdb,,text-classification,5e-05,128,1.0,,2022-05-19T03:32:08.000Z,,3,finetune
elvaklose/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-05-20T05:51:48.000Z,,3,finetune
Manishkalra/finetuning-movie-sentiment-model-9000-samples,distilbert-base-uncased,imdb,0.9178,text-classification,2e-05,16,5.0,,2023-02-23T05:09:34.000Z,,3,finetune
DuboiJ/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-05-25T13:48:07.000Z,,3,finetune
LianZhang/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-07-13T22:32:06.000Z,,3,finetune
sahn/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,0.9294,text-classification,2e-05,16,5.0,,2022-05-30T04:41:23.000Z,,3,finetune
sahn/distilbert-base-uncased-finetuned-imdb-tag,distilbert-base-uncased,imdb,0.9672,text-classification,2e-05,16,5.0,,2022-05-30T04:49:48.000Z,,3,finetune
Jherb/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2022-06-05T21:21:18.000Z,,3,finetune
mvonwyl/distilbert-base-uncased-imdb,distilbert-base-uncased,imdb,0.9214,text-classification,5e-05,32,10.0,,2023-12-20T15:13:59.000Z,,3,finetune
kaisuke/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2022-06-26T21:39:32.000Z,,3,finetune
Abonia/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2022-06-29T15:27:48.000Z,,3,finetune
Sahara/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,text-classification,2e-05,16,2.0,,2022-07-11T19:23:33.000Z,,3,finetune
juliensimon/distilbert-imdb-mlflow,distilbert-base-uncased,imdb,,text-classification,,,,,2026-03-22T21:36:12.000Z,,3,finetune
brookelove/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-08-12T01:02:47.000Z,,3,finetune
Neha2608/results,distilbert-base-uncased,imdb,,text-classification,2e-05,16,1.0,,2022-08-17T00:24:09.000Z,,3,finetune
Heer/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8867,text-classification,2e-05,16,2.0,,2022-08-17T04:18:17.000Z,,3,finetune
Sukhmani/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.91,text-classification,2e-05,16,2.0,,2022-08-19T12:42:03.000Z,,3,finetune
nhero/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2023-08-20T13:57:24.000Z,,3,finetune
Betka/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-10-01T10:17:53.000Z,,3,finetune
mofyrt/finetuning-sentiment-model-5000-samples,distilbert-base-uncased,imdb,0.9104,text-classification,2e-05,16,10.0,,2022-10-03T18:31:16.000Z,,3,finetune
ilex/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.7533,text-classification,2e-05,16,2.0,,2022-10-03T18:10:45.000Z,,3,finetune
bharadwajkg/finetuning-sentiment-model-3000-samples-imdb,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2022-10-04T10:26:13.000Z,,3,finetune
csam/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2022-10-12T11:14:28.000Z,,3,finetune
Shebna/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,0.9252,text-classification,2e-05,32,5.0,,2022-10-13T18:22:57.000Z,,3,finetune
mlstudent/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.632,text-classification,2e-05,16,2.0,,2022-10-18T19:52:23.000Z,,3,finetune
asadnai/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,text-classification,2e-05,16,2.0,,2022-11-01T18:00:22.000Z,,3,finetune
Etelis/IMDB_BERT_5E,bert-base-uncased,imdb,0.9533,text-classification,1e-05,16,5.0,,2022-11-01T19:39:15.000Z,,3,finetune
Gr00t16/distilbert-imdb,distilbert-base-uncased,imdb,0.9292,text-classification,5e-05,16,1.0,,2022-11-07T23:24:30.000Z,,3,finetune
muhtasham/bert_uncased_L-2_H-128_A-2-finetuned-emotion-finetuned-tweet,bert-base-uncased,imdb,0.8717,text-classification,3e-05,64,200.0,,2023-08-09T21:39:47.000Z,,3,finetune
bwhite5311/finetuning-sentiment-mode-3000-samples,distilbert-base-uncased,imdb,0.96,text-classification,2e-05,16,2.0,,2022-11-18T11:01:46.000Z,,3,finetune
bwhite5311/NLP-sentiment-project-2000-samples,distilbert-base-uncased,imdb,0.9715,text-classification,2e-05,20,3.0,,2022-11-18T20:50:13.000Z,,3,finetune
Tirendaz/sentiment-model-on-imdb-dataset,distilbert-base-uncased,imdb,0.85,text-classification,2e-05,8,2.0,,2022-11-29T19:16:53.000Z,,3,finetune
jmunoz/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2022-11-30T18:41:53.000Z,,3,finetune
muhtasham/finetuned-base_mini,bert-base-uncased,imdb,0.9076,text-classification,3e-05,128,200.0,,2023-09-13T18:25:07.000Z,,3,finetune
muhtasham/medium-vanilla-target-imdb,bert-base-uncased,imdb,0.8964,text-classification,3e-05,32,200.0,,2022-12-11T02:36:24.000Z,,3,finetune
vanja98/my_movie_review_model,distilbert-base-uncased,imdb,0.908,text-classification,2e-05,16,2.0,,2023-01-08T22:45:22.000Z,,3,finetune
mkhairil/finetuning-sentiment-model-3000-samples-trainerapi,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-01-22T18:04:00.000Z,,3,finetune
Aekhos/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,text-classification,2e-05,16,2.0,,2023-02-20T17:16:27.000Z,,3,finetune
mmg30/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5067,text-classification,2e-05,16,2.0,,2023-03-06T18:09:25.000Z,,3,finetune
Jadsalameh31/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.4933,text-classification,2e-05,16,2.0,,2023-03-06T18:49:57.000Z,,3,finetune
PeterKh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5,text-classification,2e-05,16,2.0,,2023-03-06T18:50:38.000Z,,3,finetune
qiaoqian/my_awesome_model,distilbert-base-uncased,imdb,0.9308,text-classification,2e-05,16,2.0,,2023-03-13T08:41:15.000Z,,3,finetune
bryjaco/my_tc_model,distilbert-base-uncased,imdb,0.9325,text-classification,2e-05,16,2.0,,2023-03-18T05:44:06.000Z,,3,finetune
ThatOnePallavi/LinearProbing01,distilbert-base-uncased,imdb,0.8315,text-classification,2e-05,16,2.0,,2023-04-05T03:19:42.000Z,,3,finetune
Longxiang/my_awesome_model,distilbert-base-uncased,imdb,0.9309,text-classification,2e-05,16,2.0,,2023-04-13T04:29:05.000Z,,3,finetune
dgalik/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2023-04-13T08:43:36.000Z,,3,finetune
zybeich/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,text-classification,2e-05,32,2.0,,2023-05-01T07:08:04.000Z,,3,finetune
Sravan18/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,text-classification,2e-05,16,2.0,,2023-05-27T10:16:19.000Z,,3,finetune
C-Lo/finetuning-sentiment-neutral-dataset,distilbert-base-uncased,imdb,,text-classification,2e-05,16,6.0,,2023-06-20T23:04:50.000Z,,3,finetune
HoussemMammeri/SBC-V1,distilbert-base-uncased,imdb,0.9314,text-classification,2e-05,16,2.0,,2023-06-26T14:54:53.000Z,,3,finetune
iammartian0/sentiment_analysis_model,distilbert-base-uncased,imdb,0.9314,text-classification,2e-05,32,2.0,,2023-06-29T13:35:40.000Z,,3,finetune
kmin06/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,2,2.0,,2023-07-07T16:47:41.000Z,,3,finetune
CMunch/fine_tuned_temp_real,distilbert-base-uncased,imdb,0.9312,text-classification,2e-05,16,2.0,,2023-07-14T17:34:39.000Z,,3,finetune
versae/gzipbert_imdb_rpe,,imdb,0.5,text-classification,2e-05,16,5.0,,2025-01-19T09:51:32.000Z,,3,finetune
C-Lo/unfiltered-dataset,distilbert-base-uncased,imdb,,text-classification,2e-05,16,6.0,,2023-08-08T23:39:36.000Z,,3,finetune
C-Lo/masked-dataset,distilbert-base-uncased,imdb,,text-classification,2e-05,16,6.0,,2023-08-08T23:45:45.000Z,,3,finetune
Prikshit7766/en_pipeline,,imdb,,text-classification,,,,,2024-03-25T07:14:39.000Z,,3,finetune
erbvjnad/my_awesome_model_classification_w_adapter,roberta-base,imdb,1.0,text-classification,2e-05,16,2.0,,2023-08-25T01:54:57.000Z,,3,finetune
harshu101202/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8067,text-classification,2e-05,16,0.01,,2023-09-02T07:22:08.000Z,,3,finetune
FriedGil/sentiment-classifier-test,distilbert-base-uncased,imdb,0.9326,text-classification,2e-05,16,2.0,,2023-09-04T14:30:28.000Z,,3,finetune
levanhien/finetuning-sen-ana,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-09-08T08:55:43.000Z,,3,finetune
dancingninjas/sentiment-model,distilbert-base-uncased,imdb,,text-classification,,,,,2023-09-21T18:24:24.000Z,,3,finetune
ankushjamthikar/aj_first_model,distilbert-base-uncased,imdb,0.9317,text-classification,2e-05,16,2.0,,2023-10-01T03:23:30.000Z,,3,finetune
rfaran/my_awesome_model,distilbert-base-uncased,imdb,0.9319,text-classification,2e-05,16,2.0,,2023-10-02T08:42:53.000Z,,3,finetune
shuryo/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,text-classification,2e-05,16,2.0,,2023-10-08T11:24:12.000Z,,3,finetune
raihan50017/my_awesome_model,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-10-07T13:36:39.000Z,,3,finetune
tonyla25/finetuning-sentiment-model-1500-samples,distilbert-base-uncased,imdb,0.87,text-classification,5e-05,16,2.0,,2023-10-08T22:03:39.000Z,,3,finetune
alexisdpc/sentiment_analysis,distilbert-base-uncased,imdb,0.9315,text-classification,2e-05,16,2.0,,2023-10-10T01:52:20.000Z,,3,finetune
robertotraba/my_awesome_model_py,distilbert-base-uncased,imdb,0.9321,text-classification,2e-05,16,2.0,,2023-10-09T15:32:18.000Z,,3,finetune
Nandinikajla2104/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-10-12T07:53:53.000Z,,3,finetune
LeighMiller/sentiment-analysis-simple-demo-model,distilbert-base-uncased,imdb,0.904,text-classification,2e-05,32,4.0,,2023-10-14T06:45:27.000Z,,3,finetune
Carmesix/Sentiment_Analysis_50000sample,distilbert-base-uncased,imdb,0.9195,text-classification,2e-05,16,2.0,,2023-10-17T15:58:04.000Z,,3,finetune
Carlos-S/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-10-17T19:56:07.000Z,,3,finetune
jiya222/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-10-22T04:47:12.000Z,,3,finetune
giraffewt/my_first_model,distilbert-base-uncased,imdb,0.9326,text-classification,2e-05,16,2.0,,2023-10-22T13:22:48.000Z,,3,finetune
hoang123223/sentiment-model-on-imdb-dataset,distilbert-base-uncased,imdb,0.84,text-classification,2e-05,8,2.0,,2023-10-22T17:00:42.000Z,,3,finetune
muellerzr/sequence_classification,distilbert-base-uncased,imdb,,text-classification,2e-05,64,,,2023-10-23T13:44:18.000Z,,3,finetune
AbeerAlbashiti/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-10-24T14:20:51.000Z,,3,finetune
skrh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,text-classification,2e-05,16,2.0,,2023-11-15T04:28:24.000Z,,3,finetune
stevendee5/base-model,bert-base-uncased,imdb,0.88,text-classification,2e-05,16,2.0,,2023-11-29T00:08:35.000Z,,3,finetune
stevendee5/distill-model,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-11-26T16:09:54.000Z,,3,finetune
Sayantan2001/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,text-classification,2e-05,16,2.0,,2023-10-28T07:35:04.000Z,,3,finetune
wenyitay/my_awesome_model,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,16,2.0,,2023-10-28T23:21:43.000Z,,3,finetune
Shivam779/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,text-classification,2e-05,16,2.0,,2023-11-01T11:20:14.000Z,,3,finetune
AndriiDemk/my_awesome_model,distilbert-base-uncased,imdb,0.9197,text-classification,2e-05,8,0.5,,2023-11-05T21:03:33.000Z,,3,finetune
ebotwick/truera_huggingface_monitoring,distilbert-base-uncased,imdb,0.9275,text-classification,2e-05,8,1.0,,2023-11-06T03:16:13.000Z,,3,finetune
JeremiahZ/imdb_distilbert-base-uncased,distilbert-base-uncased,imdb,0.8774,text-classification,2e-05,64,3.0,,2023-11-04T03:11:18.000Z,,3,finetune
knguyennguyen/my_awesome_model,,imdb,0.9553,text-classification,2e-05,4,2.0,,2023-11-05T02:23:52.000Z,,3,finetune
Realgon/left_padding0model,distilbert-base-uncased,imdb,0.9248,text-classification,2e-05,16,10.0,,2023-11-27T07:13:24.000Z,,3,finetune
Realgon/left_padding10model,distilbert-base-uncased,imdb,0.9334,text-classification,2e-05,16,10.0,,2023-11-27T07:13:41.000Z,,3,finetune
Realgon/left_padding60model,distilbert-base-uncased,imdb,0.9298,text-classification,2e-05,16,10.0,,2023-11-27T07:15:05.000Z,,3,finetune
nickapch/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,,text-classification,2e-05,16,3.0,,2023-11-08T12:43:25.000Z,,3,finetune
peterjwms/my_awesome_model,distilbert-base-uncased,imdb,0.9322,text-classification,2e-05,16,2.0,,2023-11-10T20:39:27.000Z,,3,finetune
KarolPaczocha/medicalappreview,distilbert-base-uncased,imdb,0.93,text-classification,2e-05,16,5.0,,2023-11-24T14:10:42.000Z,,3,finetune
apenev/distilbert-finetuned-imdb,distilbert-base-uncased,imdb,0.9321,text-classification,2e-05,8,2.0,,2023-11-17T17:49:41.000Z,,3,finetune
navazpv/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,text-classification,2e-05,16,2.0,,2023-11-21T11:49:04.000Z,,3,finetune
huatougui/my_awesome_model,distilbert-base-uncased,imdb,0.932,text-classification,2e-05,16,2.0,,2023-11-23T08:25:17.000Z,,3,finetune
hugrahulface/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,text-classification,2e-05,16,2.0,,2023-11-26T08:57:50.000Z,,3,finetune
hydrochii/text_classify_model,bert-base-uncased,imdb,0.9327,text-classification,2e-05,32,2.0,,2023-12-04T02:11:22.000Z,,3,finetune
indukurs/albert_model,albert-base-v2,imdb,0.9,text-classification,2e-05,16,2.0,,2023-11-28T07:48:05.000Z,,3,finetune
Realgon/distilbert_imdb_padding30model,distilbert-base-uncased,imdb,0.9332,text-classification,2e-05,16,20.0,,2023-12-01T07:43:41.000Z,,3,finetune
Realgon/distilbert_imdb_padding80model,distilbert-base-uncased,imdb,0.9289,text-classification,2e-05,16,20.0,,2023-12-01T19:58:31.000Z,,3,finetune
Realgon/distilbert_imdb_padding90model,distilbert-base-uncased,imdb,0.9309,text-classification,2e-05,16,20.0,,2023-12-01T22:26:12.000Z,,3,finetune
vaishu23/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,text-classification,2e-05,16,2.0,,2023-11-30T09:45:10.000Z,,3,finetune
cong1230/my_awesome_model,distilbert-base-uncased,imdb,0.9277,text-classification,2e-05,64,2.0,,2023-12-01T14:45:56.000Z,,3,finetune
Realgon/N_distilbert_imdb_padding0model,distilbert-base-uncased,imdb,0.933,text-classification,2e-05,16,20.0,,2023-12-11T06:06:32.000Z,,3,finetune
aisuko/ft-distilbert-base-uncased,distilbert-base-uncased,imdb,0.9304,text-classification,2e-05,32,2.0,,2023-12-06T01:18:42.000Z,,3,finetune
Realgon/N_bert_imdb_padding60model,bert-base-uncased,imdb,0.9378,text-classification,2e-05,16,20.0,,2023-12-13T22:55:38.000Z,,3,finetune
lenguist/my_awesome_model,distilbert-base-uncased,imdb,0.9313,text-classification,2e-05,16,2.0,,2023-12-14T01:39:49.000Z,,3,finetune
Realgon/N_roberta_imdb_padding20model,roberta-base,imdb,0.9526,text-classification,2e-05,16,20.0,,2023-12-24T11:42:33.000Z,,3,finetune
Realgon/N_roberta_imdb_padding70model,roberta-base,imdb,0.9506,text-classification,2e-05,16,20.0,,2023-12-24T23:35:55.000Z,,3,finetune
Realgon/N_roberta_imdb_padding80model,roberta-base,imdb,0.9511,text-classification,2e-05,16,20.0,,2023-12-25T01:58:22.000Z,,3,finetune
kulbinderdio/distilbert-base-uncased-imdb-sentiment,distilbert-base-uncased,imdb,0.9322,text-classification,2e-05,16,2.0,,2023-12-28T15:42:04.000Z,,3,finetune
spolivin/minilm-imdb,bert-base-uncased,imdb,0.9229,text-classification,2e-05,4,3.0,,2024-01-01T13:54:40.000Z,,3,finetune
mohsinshah/my_awesome_model,distilbert-base-uncased,imdb,0.9303,text-classification,2e-05,16,2.0,,2023-12-31T05:26:54.000Z,,3,finetune
sbulut/distilbert-base-uncased,distilbert-base-uncased,imdb,0.9322,text-classification,2e-05,16,2.0,,2024-02-01T18:06:49.000Z,,3,finetune
iMahdiGhazavi/NLP_HF_Workshop,distilbert-base-uncased,imdb,,text-classification,,,,,2024-03-06T19:43:20.000Z,,3,finetune
lyrisha/bert-finetuned-imdb-sentiment,distilbert-base-uncased,imdb,,text-classification,5e-05,8,3.0,,2024-05-10T20:28:23.000Z,,3,finetune
shane-reaume/imdb-sentiment-analysis,distilbert-base-uncased,imdb,,text-classification,,,,,2025-03-12T01:04:37.000Z,,3,finetune
dina1/bert-imdb-sentiment,bert-base-uncased,imdb,,text-classification,,,,,2025-08-07T09:58:20.000Z,,3,finetune
Timkilikimtai/distilbert-imdb-sentiment-analysis,distilbert-base-uncased,imdb,,text-classification,5e-05,16,3.0,,2025-08-14T20:06:29.000Z,,3,finetune
PATDRO/FirstModel,distilbert-base-uncased,imdb,,text-classification,2e-05,16,1.0,,2025-10-08T10:51:42.000Z,,3,finetune
xanderIV/finetuned-bert-imdb,bert-base-uncased,imdb,0.802,text-classification,2e-05,,,,2025-11-07T19:11:56.000Z,,3,finetune
ManavDhayeCoder/sentiment-bert,bert-base-uncased,imdb,,text-classification,,,,,2025-12-04T18:59:37.000Z,,3,finetune
Thi144/sentiment-distilbert-7class,distilbert-base-uncased,imdb,,text-classification,,,,,2025-12-10T23:35:07.000Z,,3,finetune
qusai00/distilbert-imdb-sentiment,,imdb,,text-classification,,,,,2026-01-04T13:07:26.000Z,,3,finetune
