Unnamed: 0,model,finetuned_dataset,model_name,dataset_name,task_type,batch_size,lr_scheduler_type,learning_rate,gradient_accumulation_steps,num_train_epochs,seed,dataset_path,train_runtime,eval_accuracy,push_to_hub,hub_model_id,push_to_hub_organization,hub_token,peft_method,lora_attention_dimension,lora_alpha,lora_dropout,lora_bias
1291,tashrifmahmud/sentiment_analysis_model,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,0.8396,,,,,,,,,
1293,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1294,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,1.0,,,,,,,,,
1297,mistralai/Mistral-7B-v0.3,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1298,sentence-transformers/all-MiniLM-L6-v2,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1299,sentence-transformers/all-mpnet-base-v2,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9568,,,,,,,,,
1300,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1301,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1302,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1303,answerdotai/ModernBERT-base,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1304,nlptown/bert-base-multilingual-uncased-sentiment,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1305,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1307,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9308,,,,,,,,,
1308,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1309,facebook/bart-base,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1310,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1311,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,0.857,,,,,,,,,
1312,microsoft/deberta-v3-base,stanfordnlp/imdb,,,text-classification,8.0,,2e-05,,5.0,,,,0.9577,,,,,,,,,
1313,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,,,,,,,,,,
1314,sentence-transformers/paraphrase-mpnet-base-v2,stanfordnlp/imdb,,,text-classification,,,0.01,,,,,,,,,,,,,,,
1315,google/flan-t5-small,stanfordnlp/imdb,,,text-classification,,,3e-05,,,,,,,,,,,,,,,
1316,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1317,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1318,fromthesky/PLDR-LLM-v52-110M-1,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1319,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9314,,,,,,,,,
1320,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1321,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1322,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.931,,,,,,,,,
1323,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,5.0,,,,0.896,,,,,,,,,
1324,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1325,nlptown/bert-base-multilingual-uncased-sentiment,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1326,nlptown/bert-base-multilingual-uncased-sentiment,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1327,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,4.0,,0.001,,10.0,,,,,,,,,,,,,
1328,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1329,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,0.896,,,,,,,,,
1330,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,0.896,,,,,,,,,
1331,FacebookAI/roberta-base,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,2.0,,,,0.9557,,,,,,,,,
1332,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,3.757374065772398e-05,,,,,,0.94116,,,,,,,,,
1333,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,,,,,,,,,,
1334,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,,,,,,,,,,
1335,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,0.931,,,,,,,,,
1336,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,8.0,,2e-05,,3.0,,,,,,,,,,,,,
1337,sentence-transformers/all-MiniLM-L6-v2,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1338,FacebookAI/roberta-large,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1339,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1341,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1343,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1344,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1345,EleutherAI/gpt-neo-2.7B,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1346,facebook/bart-base,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1347,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1348,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1349,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1350,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,0.88168,,,,,,,,,
1351,distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,3.0,,,,0.898,,,,,,,,,
1353,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,4.0,,,,0.9403,,,,,,,,,
1354,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,16.0,,2e-05,,4.0,,,,0.9403,,,,,,,,,
1355,distilbert/distilbert-base-uncased-finetuned-sst-2-english,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1356,distilbert/distilbert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1358,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1359,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1360,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1361,distilbert/distilbert-base-uncased-finetuned-sst-2-english,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1362,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1363,FacebookAI/xlm-roberta-base,stanfordnlp/imdb,,,text-classification,,,,,,,,,,,,,,,,,,
1364,google-bert/bert-base-uncased,stanfordnlp/imdb,,,text-classification,,,2e-05,,,,,,,,,,,,,,,
1411,google-bert/bert-base-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1412,FacebookAI/xlm-roberta-base,google-research-datasets/go_emotions,,,text-classification,,,3e-05,,,,,,0.41,,,,,,,,,
1413,microsoft/deberta-v3-large,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1414,distilbert/distilroberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1415,logasanjeev/bert-emotion-classifier,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1417,microsoft/deberta-v3-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1418,answerdotai/ModernBERT-large,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1419,SamLowe/roberta-base-go_emotions-onnx,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1421,distilbert/distilroberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1422,FacebookAI/roberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-06,,25.0,,,,0.4561,,,,,,,,,
1423,google/mobilebert-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1424,FacebookAI/roberta-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1425,distilbert-base-uncased,google-research-datasets/go_emotions,,,text-classification,128.0,,5e-05,,2.0,,,,0.6196,,,,,,,,,
1426,answerdotai/ModernBERT-base,google-research-datasets/go_emotions,,,text-classification,16.0,,8e-05,,2.0,,,,0.6226,,,,,,,,,
1427,distilbert/distilbert-base-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,0.5820000000000001,,,,,,,,,
1428,distilbert-base-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,0.6182,,,,,,,,,
1429,distilbert/distilroberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1430,bert-base-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1431,microsoft/MiniLM-L12-H384-uncased,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1432,distilbert/distilroberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1433,distilbert/distilroberta-base,google-research-datasets/go_emotions,,,text-classification,8.0,,5e-05,,3.0,,,,,,,,,,,,,
1434,microsoft/deberta-v3-small,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1435,roberta-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1436,distilbert/distilbert-base-uncased-finetuned-sst-2-english,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1437,FacebookAI/roberta-base,google-research-datasets/go_emotions,,,text-classification,,,,,,,,,,,,,,,,,,
1457,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9305,,,,,,,,,
1458,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1460,bert-base-uncased,dair-ai/emotion,,,text-classification,16.0,,5e-05,,3.0,,,,0.9295,,,,,,,,,
1468,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.918,,,,,,,,,
1469,bhadresh-savani/distilbert-base-uncased-emotion,dair-ai/emotion,,,text-classification,128.0,,0.0,,1.0,,,,,,,,,,,,,
1474,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1477,distilbert-base-cased,dair-ai/emotion,,,text-classification,32.0,,5e-05,,10.0,,,,0.9235,,,,,,,,,
1478,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1479,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,5e-05,,2.0,,,,0.9375,,,,,,,,,
1480,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.93,,,,,,,,,
1488,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1489,distilbert-base-uncased,dair-ai/emotion,,,text-classification,256.0,,2e-05,,4.0,,,,0.932,,,,,,,,,
1490,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1491,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9295,,,,,,,,,
1493,microsoft/xtremedistil-l6-h256-uncased,dair-ai/emotion,,,text-classification,,,,,,,,,,,,,,,,,,
1496,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.925,,,,,,,,,
1502,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,3e-05,,1.0,,,,0.919,,,,,,,,,
1505,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1508,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,2e-05,,3.0,,,,0.9205,,,,,,,,,
1509,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1510,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.9315,,,,,,,,,
1511,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1512,xlnet/xlnet-base-cased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.9155,,,,,,,,,
1513,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,5.0,,,,0.9415,,,,,,,,,
1514,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,,,,,,,,,,
1515,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9295,,,,,,,,,
1516,distilbert-base-uncased,dair-ai/emotion,,,text-classification,128.0,,2e-05,,1.0,,,,,,,,,,,,,
1517,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9335,,,,,,,,,
1518,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1519,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.933,,,,,,,,,
1520,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,5.0,,,,,,,,,,,,,
1521,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9185,,,,,,,,,
1522,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1523,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.928,,,,,,,,,
1529,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.922,,,,,,,,,
1534,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.921,,,,,,,,,
1537,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1542,WaelRash1/distilbert-base-uncased-finetuned-emotion,dair-ai/emotion,,,text-classification,32.0,,2e-05,,4.0,,,,0.9435,,,,,,,,,
1543,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,,,,,,,,,,
1545,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1547,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1548,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,5.0,,,,,,,,,,,,,
1549,keefezowie/my_awesome_model,dair-ai/emotion,,,text-classification,16.0,,5e-05,,10.0,,,,0.8295,,,,,,,,,
1550,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1551,nuwrong/distilbert-base-uncased-finetuned-emotion,dair-ai/emotion,,,text-classification,128.0,,2e-05,,2.0,,,,0.8975,,,,,,,,,
1552,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,5.0,,,,,,,,,,,,,
1553,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.929,,,,,,,,,
1554,roberta-base,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9185,,,,,,,,,
1555,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,10.0,,,,0.9395,,,,,,,,,
1556,albert-base-v2,dair-ai/emotion,,,text-classification,16.0,,3.069458879876956e-05,,5.0,,,,0.9325,,,,,,,,,
1558,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1559,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.933,,,,,,,,,
1560,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1561,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.939,,,,,,,,,
1562,microsoft/MiniLM-L12-H384-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,5.0,,,,,,,,,,,,,
1563,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,,,,,,,,,,
1564,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.921,,,,,,,,,
1565,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1566,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1567,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1568,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,30.0,,,,,,,,,,,,,
1569,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.94,,,,,,,,,
1572,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.922,,,,,,,,,
1586,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1609,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1616,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1619,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,10.0,,,,0.9455,,,,,,,,,
1622,bert-large-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,5.0,,,,0.939,,,,,,,,,
1623,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,,,,,,,,,,
1625,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1626,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1627,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1629,gokuls/HBERTv1_48_L10_H768_A12,dair-ai/emotion,,,text-classification,64.0,,5e-05,,10.0,,,,0.894,,,,,,,,,
1630,google/bert_uncased_L-6_H-768_A-12,dair-ai/emotion,,,text-classification,64.0,,5e-05,,10.0,,,,0.94,,,,,,,,,
1632,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1635,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.642,,,,,,,,,
1636,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9345,,,,,,,,,
1637,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.934,,,,,,,,,
1638,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1640,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1641,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,10.0,,,,0.937,,,,,,,,,
1642,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1643,distilbert-base-uncased,dair-ai/emotion,,,text-classification,256.0,,2e-05,,15.0,,,,0.936,,,,,,,,,
1644,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1646,funnel-transformer/small,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.918,,,,,,,,,
1647,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.94,,,,,,,,,
1648,distilbert-base-uncased,dair-ai/emotion,,,text-classification,256.0,,2e-05,,20.0,,,,0.9385,,,,,,,,,
1649,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,20.0,,,,0.895,,,,,,,,,
1650,albert-base-v2,dair-ai/emotion,,,text-classification,16.0,,2e-05,,2.0,,,,0.9305,,,,,,,,,
1651,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,8.0,,,,0.938,,,,,,,,,
1652,albert-base-v2,dair-ai/emotion,,,text-classification,16.0,,3e-05,,2.0,,,,0.936,,,,,,,,,
1653,albert-base-v2,dair-ai/emotion,,,text-classification,16.0,,5e-05,,3.0,,,,0.927,,,,,,,,,
1654,albert-base-v2,dair-ai/emotion,,,text-classification,4.0,,2.8e-05,,3.0,,,,0.9305,,,,,,,,,
1656,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.92,,,,,,,,,
1657,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1658,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9165,,,,,,,,,
1659,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.929,,,,,,,,,
1660,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9255,,,,,,,,,
1661,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1662,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9375,,,,,,,,,
1663,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9245,,,,,,,,,
1664,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,4.0,,,,0.934,,,,,,,,,
1665,distilbert/distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9365,,,,,,,,,
1666,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,2.0,,,,0.9385,,,,,,,,,
1667,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1669,roberta-base,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9225,,,,,,,,,
1670,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.922,,,,,,,,,
1671,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.929,,,,,,,,,
1672,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,,,,,,,,,,
1673,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9185,,,,,,,,,
1674,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9275,,,,,,,,,
1675,sentence-transformers/all-MiniLM-L6-v2,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.739,,,,,,,,,
1676,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1677,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.933,,,,,,,,,
1678,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.926,,,,,,,,,
1679,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.924,,,,,,,,,
1680,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9335,,,,,,,,,
1681,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9265,,,,,,,,,
1682,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.921,,,,,,,,,
1683,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.928,,,,,,,,,
1684,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.925,,,,,,,,,
1685,pysentimiento/robertuito-emotion-analysis,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.8655,,,,,,,,,
1686,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.934,,,,,,,,,
1687,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.77,,,,,,,,,
1688,bert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,5e-05,,3.0,,,,0.942,,,,,,,,,
1689,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1690,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.923,,,,,,,,,
1691,distilbert-base-uncased,dair-ai/emotion,,,text-classification,32.0,,2e-05,,10.0,,,,0.9395,,,,,,,,,
1734,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9285,,,,,,,,,
1743,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.9235,,,,,,,,,
1778,distilbert-base-uncased,dair-ai/emotion,,,text-classification,256.0,,0.0001,,5.0,,,,0.9367,,,,,,,,,
1789,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,2.0,,,,0.927,,,,,,,,,
1790,distilbert-base-uncased,dair-ai/emotion,,,text-classification,64.0,,2e-05,,3.0,,,,0.9365,,,,,,,,,
