model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads
julien-c/distilbert-sagemaker-1609802168,distilbert-base-uncased,imdb,,sequence_classification,,,,,2022-11-09T10:06:13.000Z,,3
nateraw/codecarbon-text-classification,bert-base-uncased,imdb,,sequence_classification,5e-05,8,4.0,,2022-02-07T20:30:43.000Z,,3
sukhendrasingh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-02-07T17:20:03.000Z,,3
markt23917/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-03-12T08:11:37.000Z,,3
cb2-kai/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,16,2.0,,2022-03-21T18:34:27.000Z,,3
dhlee347/distilbert-imdb,distilbert-base-uncased,imdb,0.9302,sequence_classification,5e-05,32,1.0,,2022-03-28T14:07:15.000Z,,3
Manishkalra/finetuning-sentiment-model-4000-samples,distilbert-base-uncased,imdb,0.9,sequence_classification,2e-05,16,2.0,,2022-04-15T05:05:50.000Z,,3
azert99/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-04-18T04:48:42.000Z,,3
PDM/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-04-22T09:18:16.000Z,,3
praptishadmaan/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.9319,sequence_classification,2e-05,16,2.0,,2022-04-24T17:16:19.000Z,,3
Percival/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2022-04-29T22:52:18.000Z,,3
heranm/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-05-05T16:50:21.000Z,,3
wooglee/distilbert-imdb,distilbert-base-uncased,imdb,,sequence_classification,5e-05,128,1.0,,2022-05-19T03:32:08.000Z,,3
elvaklose/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-05-20T05:51:48.000Z,,3
Manishkalra/finetuning-movie-sentiment-model-9000-samples,distilbert-base-uncased,imdb,0.9178,sequence_classification,2e-05,16,5.0,,2023-02-23T05:09:34.000Z,,3
DuboiJ/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,sequence_classification,2e-05,16,2.0,,2022-05-25T13:48:07.000Z,,3
LianZhang/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-07-13T22:32:06.000Z,,3
sahn/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,0.9294,sequence_classification,2e-05,16,5.0,,2022-05-30T04:41:23.000Z,,3
sahn/distilbert-base-uncased-finetuned-imdb-tag,distilbert-base-uncased,imdb,0.9672,sequence_classification,2e-05,16,5.0,,2022-05-30T04:49:48.000Z,,3
Jherb/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2022-06-05T21:21:18.000Z,,3
mvonwyl/distilbert-base-uncased-imdb,distilbert-base-uncased,imdb,0.9214,sequence_classification,5e-05,32,10.0,,2023-12-20T15:13:59.000Z,,3
kaisuke/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2022-06-26T21:39:32.000Z,,3
Abonia/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-06-29T15:27:48.000Z,,3
Sahara/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,sequence_classification,2e-05,16,2.0,,2022-07-11T19:23:33.000Z,,3
juliensimon/distilbert-imdb-mlflow,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-03-22T21:36:12.000Z,,3
brookelove/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,sequence_classification,2e-05,16,2.0,,2022-08-12T01:02:47.000Z,,3
Neha2608/results,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,1.0,,2022-08-17T00:24:09.000Z,,3
Heer/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8867,sequence_classification,2e-05,16,2.0,,2022-08-17T04:18:17.000Z,,3
Sukhmani/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.91,sequence_classification,2e-05,16,2.0,,2022-08-19T12:42:03.000Z,,3
nhero/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2023-08-20T13:57:24.000Z,,3
Betka/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-10-01T10:17:53.000Z,,3
mofyrt/finetuning-sentiment-model-5000-samples,distilbert-base-uncased,imdb,0.9104,sequence_classification,2e-05,16,10.0,,2022-10-03T18:31:16.000Z,,3
ilex/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.7533,sequence_classification,2e-05,16,2.0,,2022-10-03T18:10:45.000Z,,3
bharadwajkg/finetuning-sentiment-model-3000-samples-imdb,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-10-04T10:26:13.000Z,,3
csam/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,sequence_classification,2e-05,16,2.0,,2022-10-12T11:14:28.000Z,,3
Shebna/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,0.9252,sequence_classification,2e-05,32,5.0,,2022-10-13T18:22:57.000Z,,3
mlstudent/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.632,sequence_classification,2e-05,16,2.0,,2022-10-18T19:52:23.000Z,,3
asadnai/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,sequence_classification,2e-05,16,2.0,,2022-11-01T18:00:22.000Z,,3
Etelis/IMDB_BERT_5E,bert-base-uncased,imdb,0.9533,sequence_classification,1e-05,16,5.0,,2022-11-01T19:39:15.000Z,,3
Gr00t16/distilbert-imdb,distilbert-base-uncased,imdb,0.9292,sequence_classification,5e-05,16,1.0,,2022-11-07T23:24:30.000Z,,3
muhtasham/bert_uncased_L-2_H-128_A-2-finetuned-emotion-finetuned-tweet,bert-base-uncased,imdb,0.8717,sequence_classification,3e-05,64,200.0,,2023-08-09T21:39:47.000Z,,3
bwhite5311/finetuning-sentiment-mode-3000-samples,distilbert-base-uncased,imdb,0.96,sequence_classification,2e-05,16,2.0,,2022-11-18T11:01:46.000Z,,3
bwhite5311/NLP-sentiment-project-2000-samples,distilbert-base-uncased,imdb,0.9715,sequence_classification,2e-05,20,3.0,,2022-11-18T20:50:13.000Z,,3
Tirendaz/sentiment-model-on-imdb-dataset,distilbert-base-uncased,imdb,0.85,sequence_classification,2e-05,8,2.0,,2022-11-29T19:16:53.000Z,,3
jmunoz/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2022-11-30T18:41:53.000Z,,3
muhtasham/finetuned-base_mini,bert-base-uncased,imdb,0.9076,sequence_classification,3e-05,128,200.0,,2023-09-13T18:25:07.000Z,,3
muhtasham/medium-vanilla-target-imdb,bert-base-uncased,imdb,0.8964,sequence_classification,3e-05,32,200.0,,2022-12-11T02:36:24.000Z,,3
vanja98/my_movie_review_model,distilbert-base-uncased,imdb,0.908,sequence_classification,2e-05,16,2.0,,2023-01-08T22:45:22.000Z,,3
mkhairil/finetuning-sentiment-model-3000-samples-trainerapi,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-01-22T18:04:00.000Z,,3
Aekhos/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2023-02-20T17:16:27.000Z,,3
mmg30/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5067,sequence_classification,2e-05,16,2.0,,2023-03-06T18:09:25.000Z,,3
Jadsalameh31/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.4933,sequence_classification,2e-05,16,2.0,,2023-03-06T18:49:57.000Z,,3
PeterKh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.5,sequence_classification,2e-05,16,2.0,,2023-03-06T18:50:38.000Z,,3
qiaoqian/my_awesome_model,distilbert-base-uncased,imdb,0.9308,sequence_classification,2e-05,16,2.0,,2023-03-13T08:41:15.000Z,,3
bryjaco/my_tc_model,distilbert-base-uncased,imdb,0.9325,sequence_classification,2e-05,16,2.0,,2023-03-18T05:44:06.000Z,,3
ThatOnePallavi/LinearProbing01,distilbert-base-uncased,imdb,0.8315,sequence_classification,2e-05,16,2.0,,2023-04-05T03:19:42.000Z,,3
Longxiang/my_awesome_model,distilbert-base-uncased,imdb,0.9309,sequence_classification,2e-05,16,2.0,,2023-04-13T04:29:05.000Z,,3
dgalik/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.88,sequence_classification,2e-05,16,2.0,,2023-04-13T08:43:36.000Z,,3
zybeich/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,sequence_classification,2e-05,32,2.0,,2023-05-01T07:08:04.000Z,,3
Sravan18/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2023-05-27T10:16:19.000Z,,3
C-Lo/finetuning-sentiment-neutral-dataset,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,6.0,,2023-06-20T23:04:50.000Z,,3
HoussemMammeri/SBC-V1,distilbert-base-uncased,imdb,0.9314,sequence_classification,2e-05,16,2.0,,2023-06-26T14:54:53.000Z,,3
iammartian0/sentiment_analysis_model,distilbert-base-uncased,imdb,0.9314,sequence_classification,2e-05,32,2.0,,2023-06-29T13:35:40.000Z,,3
kmin06/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,2,2.0,,2023-07-07T16:47:41.000Z,,3
CMunch/fine_tuned_temp_real,distilbert-base-uncased,imdb,0.9312,sequence_classification,2e-05,16,2.0,,2023-07-14T17:34:39.000Z,,3
versae/gzipbert_imdb_rpe,,imdb,0.5,sequence_classification,2e-05,16,5.0,,2025-01-19T09:51:32.000Z,,3
C-Lo/unfiltered-dataset,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,6.0,,2023-08-08T23:39:36.000Z,,3
C-Lo/masked-dataset,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,6.0,,2023-08-08T23:45:45.000Z,,3
Prikshit7766/en_pipeline,,imdb,,sequence_classification,,,,,2024-03-25T07:14:39.000Z,,3
erbvjnad/my_awesome_model_classification_w_adapter,roberta-base,imdb,1.0,sequence_classification,2e-05,16,2.0,,2023-08-25T01:54:57.000Z,,3
harshu101202/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8067,sequence_classification,2e-05,16,0.01,,2023-09-02T07:22:08.000Z,,3
FriedGil/sentiment-classifier-test,distilbert-base-uncased,imdb,0.9326,sequence_classification,2e-05,16,2.0,,2023-09-04T14:30:28.000Z,,3
levanhien/finetuning-sen-ana,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-09-08T08:55:43.000Z,,3
dancingninjas/sentiment-model,distilbert-base-uncased,imdb,,sequence_classification,,,,,2023-09-21T18:24:24.000Z,,3
ankushjamthikar/aj_first_model,distilbert-base-uncased,imdb,0.9317,sequence_classification,2e-05,16,2.0,,2023-10-01T03:23:30.000Z,,3
rfaran/my_awesome_model,distilbert-base-uncased,imdb,0.9319,sequence_classification,2e-05,16,2.0,,2023-10-02T08:42:53.000Z,,3
shuryo/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8533,sequence_classification,2e-05,16,2.0,,2023-10-08T11:24:12.000Z,,3
raihan50017/my_awesome_model,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2023-10-07T13:36:39.000Z,,3
tonyla25/finetuning-sentiment-model-1500-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,5e-05,16,2.0,,2023-10-08T22:03:39.000Z,,3
alexisdpc/sentiment_analysis,distilbert-base-uncased,imdb,0.9315,sequence_classification,2e-05,16,2.0,,2023-10-10T01:52:20.000Z,,3
robertotraba/my_awesome_model_py,distilbert-base-uncased,imdb,0.9321,sequence_classification,2e-05,16,2.0,,2023-10-09T15:32:18.000Z,,3
Nandinikajla2104/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-10-12T07:53:53.000Z,,3
LeighMiller/sentiment-analysis-simple-demo-model,distilbert-base-uncased,imdb,0.904,sequence_classification,2e-05,32,4.0,,2023-10-14T06:45:27.000Z,,3
Carmesix/Sentiment_Analysis_50000sample,distilbert-base-uncased,imdb,0.9195,sequence_classification,2e-05,16,2.0,,2023-10-17T15:58:04.000Z,,3
Carlos-S/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2023-10-17T19:56:07.000Z,,3
jiya222/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2023-10-22T04:47:12.000Z,,3
giraffewt/my_first_model,distilbert-base-uncased,imdb,0.9326,sequence_classification,2e-05,16,2.0,,2023-10-22T13:22:48.000Z,,3
hoang123223/sentiment-model-on-imdb-dataset,distilbert-base-uncased,imdb,0.84,sequence_classification,2e-05,8,2.0,,2023-10-22T17:00:42.000Z,,3
muellerzr/sequence_classification,distilbert-base-uncased,imdb,,sequence_classification,2e-05,64,,,2023-10-23T13:44:18.000Z,,3
AbeerAlbashiti/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-10-24T14:20:51.000Z,,3
skrh/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2023-11-15T04:28:24.000Z,,3
stevendee5/base-model,bert-base-uncased,imdb,0.88,sequence_classification,2e-05,16,2.0,,2023-11-29T00:08:35.000Z,,3
stevendee5/distill-model,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-11-26T16:09:54.000Z,,3
Sayantan2001/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,2.0,,2023-10-28T07:35:04.000Z,,3
wenyitay/my_awesome_model,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,16,2.0,,2023-10-28T23:21:43.000Z,,3
Shivam779/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,16,2.0,,2023-11-01T11:20:14.000Z,,3
AndriiDemk/my_awesome_model,distilbert-base-uncased,imdb,0.9197,sequence_classification,2e-05,8,0.5,,2023-11-05T21:03:33.000Z,,3
ebotwick/truera_huggingface_monitoring,distilbert-base-uncased,imdb,0.9275,sequence_classification,2e-05,8,1.0,,2023-11-06T03:16:13.000Z,,3
JeremiahZ/imdb_distilbert-base-uncased,distilbert-base-uncased,imdb,0.8774,sequence_classification,2e-05,64,3.0,,2023-11-04T03:11:18.000Z,,3
knguyennguyen/my_awesome_model,,imdb,0.9553,sequence_classification,2e-05,4,2.0,,2023-11-05T02:23:52.000Z,,3
Realgon/left_padding0model,distilbert-base-uncased,imdb,0.9248,sequence_classification,2e-05,16,10.0,,2023-11-27T07:13:24.000Z,,3
Realgon/left_padding10model,distilbert-base-uncased,imdb,0.9334,sequence_classification,2e-05,16,10.0,,2023-11-27T07:13:41.000Z,,3
Realgon/left_padding60model,distilbert-base-uncased,imdb,0.9298,sequence_classification,2e-05,16,10.0,,2023-11-27T07:15:05.000Z,,3
nickapch/distilbert-base-uncased-finetuned-imdb,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,3.0,,2023-11-08T12:43:25.000Z,,3
peterjwms/my_awesome_model,distilbert-base-uncased,imdb,0.9322,sequence_classification,2e-05,16,2.0,,2023-11-10T20:39:27.000Z,,3
KarolPaczocha/medicalappreview,distilbert-base-uncased,imdb,0.93,sequence_classification,2e-05,16,5.0,,2023-11-24T14:10:42.000Z,,3
apenev/distilbert-finetuned-imdb,distilbert-base-uncased,imdb,0.9321,sequence_classification,2e-05,8,2.0,,2023-11-17T17:49:41.000Z,,3
navazpv/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2023-11-21T11:49:04.000Z,,3
huatougui/my_awesome_model,distilbert-base-uncased,imdb,0.932,sequence_classification,2e-05,16,2.0,,2023-11-23T08:25:17.000Z,,3
hugrahulface/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,sequence_classification,2e-05,16,2.0,,2023-11-26T08:57:50.000Z,,3
hydrochii/text_classify_model,bert-base-uncased,imdb,0.9327,sequence_classification,2e-05,32,2.0,,2023-12-04T02:11:22.000Z,,3
indukurs/albert_model,albert-base-v2,imdb,0.9,sequence_classification,2e-05,16,2.0,,2023-11-28T07:48:05.000Z,,3
Realgon/distilbert_imdb_padding30model,distilbert-base-uncased,imdb,0.9332,sequence_classification,2e-05,16,20.0,,2023-12-01T07:43:41.000Z,,3
Realgon/distilbert_imdb_padding80model,distilbert-base-uncased,imdb,0.9289,sequence_classification,2e-05,16,20.0,,2023-12-01T19:58:31.000Z,,3
Realgon/distilbert_imdb_padding90model,distilbert-base-uncased,imdb,0.9309,sequence_classification,2e-05,16,20.0,,2023-12-01T22:26:12.000Z,,3
vaishu23/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,sequence_classification,2e-05,16,2.0,,2023-11-30T09:45:10.000Z,,3
cong1230/my_awesome_model,distilbert-base-uncased,imdb,0.9277,sequence_classification,2e-05,64,2.0,,2023-12-01T14:45:56.000Z,,3
Realgon/N_distilbert_imdb_padding0model,distilbert-base-uncased,imdb,0.933,sequence_classification,2e-05,16,20.0,,2023-12-11T06:06:32.000Z,,3
aisuko/ft-distilbert-base-uncased,distilbert-base-uncased,imdb,0.9304,sequence_classification,2e-05,32,2.0,,2023-12-06T01:18:42.000Z,,3
Realgon/N_bert_imdb_padding60model,bert-base-uncased,imdb,0.9378,sequence_classification,2e-05,16,20.0,,2023-12-13T22:55:38.000Z,,3
lenguist/my_awesome_model,distilbert-base-uncased,imdb,0.9313,sequence_classification,2e-05,16,2.0,,2023-12-14T01:39:49.000Z,,3
Realgon/N_roberta_imdb_padding20model,roberta-base,imdb,0.9526,sequence_classification,2e-05,16,20.0,,2023-12-24T11:42:33.000Z,,3
Realgon/N_roberta_imdb_padding70model,roberta-base,imdb,0.9506,sequence_classification,2e-05,16,20.0,,2023-12-24T23:35:55.000Z,,3
Realgon/N_roberta_imdb_padding80model,roberta-base,imdb,0.9511,sequence_classification,2e-05,16,20.0,,2023-12-25T01:58:22.000Z,,3
kulbinderdio/distilbert-base-uncased-imdb-sentiment,distilbert-base-uncased,imdb,0.9322,sequence_classification,2e-05,16,2.0,,2023-12-28T15:42:04.000Z,,3
spolivin/minilm-imdb,bert-base-uncased,imdb,0.9229,sequence_classification,2e-05,4,3.0,,2024-01-01T13:54:40.000Z,,3
mohsinshah/my_awesome_model,distilbert-base-uncased,imdb,0.9303,sequence_classification,2e-05,16,2.0,,2023-12-31T05:26:54.000Z,,3
sbulut/distilbert-base-uncased,distilbert-base-uncased,imdb,0.9322,sequence_classification,2e-05,16,2.0,,2024-02-01T18:06:49.000Z,,3
iMahdiGhazavi/NLP_HF_Workshop,distilbert-base-uncased,imdb,,sequence_classification,,,,,2024-03-06T19:43:20.000Z,,3
lyrisha/bert-finetuned-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,5e-05,8,3.0,,2024-05-10T20:28:23.000Z,,3
shane-reaume/imdb-sentiment-analysis,distilbert-base-uncased,imdb,,sequence_classification,,,,,2025-03-12T01:04:37.000Z,,3
dina1/bert-imdb-sentiment,bert-base-uncased,imdb,,sequence_classification,,,,,2025-08-07T09:58:20.000Z,,3
Timkilikimtai/distilbert-imdb-sentiment-analysis,distilbert-base-uncased,imdb,,sequence_classification,5e-05,16,3.0,,2025-08-14T20:06:29.000Z,,3
PATDRO/FirstModel,distilbert-base-uncased,imdb,,sequence_classification,2e-05,16,1.0,,2025-10-08T10:51:42.000Z,,3
xanderIV/finetuned-bert-imdb,bert-base-uncased,imdb,0.802,sequence_classification,2e-05,,,,2025-11-07T19:11:56.000Z,,3
ManavDhayeCoder/sentiment-bert,bert-base-uncased,imdb,,sequence_classification,,,,,2025-12-04T18:59:37.000Z,,3
Thi144/sentiment-distilbert-7class,distilbert-base-uncased,imdb,,sequence_classification,,,,,2025-12-10T23:35:07.000Z,,3
qusai00/distilbert-imdb-sentiment,,imdb,,sequence_classification,,,,,2026-01-04T13:07:26.000Z,,3
AutoBot000/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-02-20T12:04:45.000Z,,3
Kapilydv6/my-first-sentiment-model,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-03-18T11:51:57.000Z,,3
kckdeepak/imdb-distilbert-sentiment-analysis,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-03-27T15:11:40.000Z,,3
jongador/bert-imdb-256,bert-base-uncased,imdb,,sequence_classification,,,,,2026-05-10T04:33:58.000Z,,3
manaalsheikh36/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T11:19:37.000Z,,3
Asmatullah-AI-Engineer/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T10:26:27.000Z,,3
Shafiullahbjr226091/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T18:26:55.000Z,,3
nayabzahoor/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T15:13:12.000Z,,3
rafianaveed/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T11:57:23.000Z,,3
BlessedDovis/distilbert-sentiment-analysis,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T12:36:55.000Z,,3
umbermalik/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T14:31:50.000Z,,3
kashansohrab/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-24T15:51:00.000Z,,3
Zeddy67/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-21T14:43:37.000Z,,3
akhtarghazi7/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-22T19:16:01.000Z,,3
Aitazaz123/distilbert-imdb-sentiment,distilbert-base-uncased,imdb,,sequence_classification,,,,,2026-04-24T10:32:26.000Z,,3
jongador/cnn-imdb-512,,imdb,,sequence_classification,,,,,2026-05-10T04:35:56.000Z,,3
federicopascual/finetuning-sentiment-model-3000-samples-testcopy,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2022-01-04T14:34:49.000Z,,2
madhav16/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,16,2.0,,2022-03-19T20:26:25.000Z,,2
Roshan777/finetuning-sentiment-model-300-samples,distilbert-base-uncased,imdb,0.6833,sequence_classification,2e-05,16,2.0,,2022-03-26T12:54:48.000Z,,2
Manishkalra/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2022-04-14T11:04:35.000Z,,2
ttwj-sutd/finetuning-sentiment-model-3000-samples-6pm,distilbert-base-uncased,imdb,0.88,sequence_classification,1e-05,16,11.0,,2022-04-17T10:33:50.000Z,,2
peringe/finetuning-sentiment-model-3000-samples-pi,distilbert-base-uncased,imdb,0.8633,sequence_classification,2e-05,16,2.0,,2022-04-27T08:58:12.000Z,,2
AbhiNaiky/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-04-28T22:34:39.000Z,,2
KoenBronstring/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-05-04T17:53:58.000Z,,2
guhuawuli/distilbert-imdb,distilbert-base-uncased,imdb,,sequence_classification,5e-05,64,1.0,,2022-05-04T10:57:23.000Z,,2
Wakaka/bert-finetuned-imdb,bert-base-uncased,imdb,0.866,sequence_classification,5e-05,8,3.0,,2022-05-06T06:38:19.000Z,,2
beltran/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8567,sequence_classification,2e-05,16,2.0,,2022-12-01T14:00:25.000Z,,2
ocm/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-05-22T16:12:20.000Z,,2
wuxiaofei/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,2,2.0,,2022-05-31T15:12:52.000Z,,2
olivia371/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.925,sequence_classification,2e-05,16,2.0,,2022-06-14T15:05:10.000Z,,2
johntang/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,2.0,,2022-07-13T14:02:11.000Z,,2
JHart96/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.86,sequence_classification,2e-05,16,2.0,,2022-06-29T18:20:13.000Z,,2
rahuldebdas79/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2022-07-18T18:40:24.000Z,,2
MiguelCosta/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8767,sequence_classification,2e-05,16,4.0,,2022-07-12T06:06:41.000Z,,2
MiguelCosta/finetuning-sentiment-model-24000-samples,distilbert-base-uncased,imdb,0.9267,sequence_classification,2e-05,16,4.0,,2022-07-12T10:48:14.000Z,,2
ymcnabb/finetuning-sentiment-model,distilbert-base-uncased,imdb,0.8733,sequence_classification,2e-05,16,2.0,,2022-07-12T13:17:58.000Z,,2
Malanga/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2022-07-19T09:49:05.000Z,,2
rajistics/distilbert-imdb-mlflow,distilbert-base-uncased,imdb,,sequence_classification,5e-05,8,1.0,,2023-05-01T15:14:10.000Z,,2
sunilkumardash9/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2022-08-07T12:16:22.000Z,,2
lilrhexi/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8633,sequence_classification,2e-05,16,2.0,,2022-08-11T07:24:26.000Z,,2
Zul/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.87,sequence_classification,2e-05,16,2.0,,2022-08-15T07:40:04.000Z,,2
jzonthemtn/distilbert-imdb,distilbert-base-uncased,imdb,,sequence_classification,,,,,2023-12-20T15:00:25.000Z,,2
KedirAhmed/finetuning-sentiment-model-3000-samples,distilbert-base-uncased,imdb,0.8667,sequence_classification,2e-05,16,2.0,,2022-08-25T16:38:38.000Z,,2
